Product,District,Upazila,Partner,Coverage,Peril,Premium,Year,Clients,Excessive_Window,Excessive_Trigger,Excessive_Exit,Excessive_Rate,Excessive_MinPayout,Excessive_MaxPayout,Deficit_Window,Deficit_Trigger,Deficit_Rate,Deficit_MinPayout,Deficit_MaxPayout,Deficit_DailyCap,Heat_Window,Heat_Trigger,Heat_Exit,Heat_Rate,Heat_MinPayout,Heat_MaxPayout,Cold_Window,Cold_Trigger,Cold_Exit,Cold_Rate,Cold_MinPayout,Cold_MaxPayout
Potato,Bagerhat,Bagerhat Sadar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,39,84,1.5%,10%,40%,45,50,2.00%,5%,20%,50,,,,,,,,,,,,
Potato,Bagerhat,Chitalmari,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,140,185,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Bagerhat,Fakirhat,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,100,145,1.5%,10%,40%,45,53,1.54%,5%,20%,50,,,,,,,,,,,,
Potato,Bagerhat,Kachua,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,75,95,1.5%,10%,40%,45,100,1.67%,5%,20%,50,,,,,,,,,,,,
Potato,Bagerhat,Mollahat,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,85,130,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Bagerhat,Mongla,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,75,120,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Bagerhat,Morelganj,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,150,195,1.5%,10%,40%,45,90,0.40%,5%,20%,50,,,,,,,,,,,,
Potato,Bagerhat,Rampal,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,51,96,1.5%,10%,40%,45,53,1.54%,5%,20%,50,,,,,,,,,,,,
Potato,Bagerhat,Sharankhola,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,45,90,1.5%,10%,40%,45,52,1.67%,5%,20%,50,,,,,,,,,,,,
Potato,Chuadanga,Alamdanga,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,35,80,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Chuadanga,Chuadanga Sadar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,50,95,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Chuadanga,Damurhuda,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,150,195,1.5%,10%,40%,45,90,0.40%,5%,20%,50,,,,,,,,,,,,
Potato,Chuadanga,Jibannagar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,85,130,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Jashore,Abhaynagar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,70,115,1.5%,10%,40%,45,54,1.43%,5%,20%,50,,,,,,,,,,,,
Potato,Jashore,Bagharpara,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,50,95,1.5%,10%,40%,45,50,2.00%,5%,20%,50,,,,,,,,,,,,
Potato,Jashore,Chaugachha,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,145,190,1.5%,10%,40%,45,64,0.83%,5%,20%,50,,,,,,,,,,,,
Potato,Jashore,Jashore Sadar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,62,107,1.5%,10%,40%,45,58,1.11%,5%,20%,50,,,,,,,,,,,,
Potato,Jashore,Jhikargachha,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,175,220,1.5%,10%,40%,45,70,0.67%,5%,20%,50,,,,,,,,,,,,
Potato,Jashore,Keshabpur,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,115,160,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Jashore,Manirampur,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,60,105,1.5%,10%,40%,45,51,1.82%,5%,20%,50,,,,,,,,,,,,
Potato,Jashore,Sharsha,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,110,155,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Jhenaidah,Harinakundu,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,105,150,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Jhenaidah,Jhenaidah Sadar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,45,90,1.5%,10%,40%,45,52,1.67%,5%,20%,50,,,,,,,,,,,,
Potato,Jhenaidah,Kaliganj,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,60,105,1.5%,10%,40%,45,52,1.67%,5%,20%,50,,,,,,,,,,,,
Potato,Jhenaidah,Kotchandpur,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,31,76,1.5%,10%,40%,45,49.5,2.11%,5%,20%,50,,,,,,,,,,,,
Potato,Jhenaidah,Maheshpur,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,285,330,1.5%,10%,40%,45,95,0.36%,5%,20%,50,,,,,,,,,,,,
Potato,Jhenaidah,Shailkupa,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,90,135,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Khulna,Batiaghata,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,65,110,1.5%,10%,40%,45,51.5,1.74%,5%,20%,50,,,,,,,,,,,,
Potato,Khulna,Dacope,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,75,120,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Khulna,Dighalia,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,49,94,1.5%,10%,40%,45,50,2.00%,5%,20%,50,,,,,,,,,,,,
Potato,Khulna,Dumuria,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,95,140,1.5%,10%,40%,45,56,1.25%,5%,20%,50,,,,,,,,,,,,
Potato,Khulna,Koyra,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,170,215,1.5%,10%,40%,45,65,0.80%,5%,20%,50,,,,,,,,,,,,
Potato,Khulna,Paikgachha,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,150,195,1.5%,10%,40%,45,70,0.67%,5%,20%,50,,,,,,,,,,,,
Potato,Khulna,Phultala,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,140,185,1.5%,10%,40%,45,70,0.67%,5%,20%,50,,,,,,,,,,,,
Potato,Khulna,Rupsa,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,135,180,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Khulna,Terokhada,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,105,150,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Kushtia,Bheramara,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,80,125,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Kushtia,Daulatpur,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,40,85,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Kushtia,Khoksa,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,125,170,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Kushtia,Kumarkhali,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,285,330,1.5%,10%,40%,45,90,0.40%,5%,20%,50,,,,,,,,,,,,
Potato,Kushtia,Kushtia Sadar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,95,140,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Kushtia,Mirpur,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,34,79,1.5%,10%,40%,45,49.5,2.11%,5%,20%,50,,,,,,,,,,,,
Potato,Magura,Magura Sadar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,65,110,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Magura,Mohammadpur,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,75,105,1.5%,10%,40%,45,100,1.67%,5%,20%,50,,,,,,,,,,,,
Potato,Magura,Shalikha,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,75,90,1.5%,10%,40%,45,100,1.82%,5%,20%,50,,,,,,,,,,,,
Potato,Magura,Sreepur,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,130,175,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Meherpur,Gangni,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,105,150,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Meherpur,Meherpur Sadar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,50,95,1.5%,10%,40%,45,52,1.67%,5%,20%,50,,,,,,,,,,,,
Potato,Meherpur,Mujibnagar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,70,115,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Narail,Kalia,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,145,190,1.5%,10%,40%,45,60,1.00%,5%,20%,50,,,,,,,,,,,,
Potato,Narail,Lohagara,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,80,125,1.5%,10%,40%,45,55,1.33%,5%,20%,50,,,,,,,,,,,,
Potato,Narail,Narail Sadar,CARITAS Bangladesh,16 February - 15 April,"Excessive Rainfall, Deficit Rainfallive",5.31,2025,CARITAS Bangladesh,5,175,220,1.5%,10%,40%,45,80,0.50%,5%,20%,50,,,,,,,,,,,,
